,Name + autors,Fields,Date,Abstract,Citations,PDF link
724,kernlab An S4 Package for Kernel Methods in R Karatzoglou Smola/ade03d0c772c35dc8e865bdb41d7bc54d5b782d1,Computer Science,2 November 2004,kernlab is an extensible package for kernel-based machine learning methods in R. It takes advantage of R's new S4 ob ject model and provides a framework for creating and using kernel- based algorithms.,1302,https://pdfs.semanticscholar.org/1f4c/6d1900c34a124afdb49f52002482c3d774f9.pdf
725,Pattern Recognition and Neural Networks Ripley/1c26bbfda107188d5c1bcbcbc93d93dd1c133116,Computer Science,1996,"This is a self-contained account, ideal both as an introduction for non-specialists readers, and also as a handbook for the more expert reader.   ",2763,https://doi.org/10.1017/CBO9780511812651
726,Learning to Decode Cognitive States from Brain Mitchell Hutchinson/9dc134b18c06577354d50c12a8972b965d3bbacd,Computer Science,1 October 2004,We apply machine learning methods to the problem of classifying the cognitive state of a human subject based on fRMI data observed over a single time interval.,736,https://doi.org/10.1023/B%3AMACH.0000035475.85309.1b
727,Sequence Transduction with Recurrent Neural Graves/7b4f3d0e4e2486a8d5d3f8e00549cf9a117bf88f,"Computer Science, Mathematics",14 November 2012,"We introduce an end-to-end, probabilistic sequence transduction system, based entirely on RNNs, that is in principle able to transform any input sequence into any finite, discrete output sequence.   ",611,https://arxiv.org/pdf/1211.3711.pdf
728,Images of Organization Alexander Morgan/a9763afda62e960c35c80681f805ddecbef14a92,"Psychology, Medicine",1 March 1988,   ,6457,https://doi.org/10.1097/00000446-198803000-00042
729,Optimizing search engines using clickthrough data Joachims/cfd4259d305a00f13d5f08841230389f61322422,Computer Science,23 July 2002,This paper presents an approach to automatically optimizing the retrieval quality of search engines using clickthrough data by analyzing which links the users click on in the presented ranking.   ,4111,http://dl.acm.org/citation.cfm?id=775067
730,Convolutional Pose Machines Wei Ramakrishna/864e7db59f2ccfec1ee9f6eba79566ac7b0634df,Computer Science,30 January 2016,We propose a systematic design for how convolutional networks can be incorporated into the pose machine learning framework for,1586,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7780880
731,Molecular graph convolutions%3A moving beyond Kearnes McCloskey/561c3fa53d36405186da9cab02bd68635c3738aa,"Computer Science, Mathematics",2 March 2016,"We describe molecular graph convolutions, a machine learning architecture for",557,https://doi.org/10.1007/s10822-016-9938-8
732,A Perspective View and Survey of Meta Learning Vilalta Drissi/98f8a0055bb28133efcff359a92937324d0e6f51,Computer Science,1 October 2002,A survey of meta- learning machine as reported in the,710,https://doi.org/10.1023/A%3A1019956318069
733,An Introduction to Variational Methods for Models Jordan Ghahramani/6120cc252bc74239012f11b8b075cb7cb16bee26,"Mathematics, Computer Science",1 February 1999,"We present a number of examples of graphical models, including the QMR-DT database, the sigmoid belief network, the Boltzmann machine  , and several variants of hidden Markov models.",2354,https://doi.org/10.1023/A%3A1007665907178
734,Coordinate descent algorithms Wright/28cf6da1cdcfc1f95b8c31b13d975837257766f2,"Computer Science, Mathematics",17 February 2015,"This paper describes the fundamentals of the coordinate descent approach, together with variants and extensions and their convergence properties, mostly with reference to convex objectives.   ",712,https://doi.org/10.1007/s10107-015-0892-3
735,Pedestrian Detection via Classification on Tuzel Porikli/33e46a618fdb22d46951f548d6ceeb384e7f1687,"Mathematics, Medicine",1 October 2008,We present a novel approach for classifying points lying on a connected Riemannian manifold using covariance matrices as object descriptors.   ,886,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4479482
736,Semantics derived automatically from language Caliskan Bryson/e211ec0fdaee8bec696475eaffae05af32222b9b,"Computer Science, Medicine",25 August 2016,s learn what people know implicitly AlphaGo has demonstrated that a Machine machine can learn how to do things that people spend many years of concentrated study,802,https://doi.org/10.1126/science.aal4230
737,Learning logical definitions from relations Quinlan/554f3b32b956035fbfabba730c6f0300d6955dce,Computer Science,1 September 1990,"This paper describesfoil, a system that learns a first-order formalism for learning  concepts from attribute-value descriptions of objects.",639,https://doi.org/10.1023/A%3A1022699322624
738,A Survey of Text Classification Algorithms Aggarwal Zhai/5c89852b90a1e9e506d237749c745bf42ac0f737,Computer Science,1 August 2012,"The problem of classification has been widely studied in the database, data mining, and information retrieval communities with applications in a number of diverse domains, such as target marketing, medical diagnosis, news group filtering, and document organization.   ",650,https://doi.org/10.1007/978-1-4614-3223-4_6
739,Neural Network Methods for Natural Language Goldberg Hirst/e75b3c12da067552fda910a5bbed8b4d0e82dbcb,Computer Science,17 April 2017,Neural networks are a family of powerful machine learning models.,391,https://www.aclweb.org/anthology/J18-1008.pdf
740,Ad click prediction%3A a view from the trenches McMahan Holt/79f2626046fdc56edfaca840874e355cac734b9a,Computer Science,11 August 2013,We present a selection of case studies and topics drawn from recent experiments in the setting of a deployed CTR prediction system that show the depth of challenges that arise when applying traditional machine learning methods in a complex dynamic system.,600,http://dl.acm.org/citation.cfm?id=2488200
741,Artificial intelligence in healthcare%3A past%2C and Jiang Jiang/10f919b1a5161b560504c225cfb2d1b3a4768f80,"Medicine, Computer Science",21 June 2017,"We survey the current status of AI applications in stroke, in the three major areas of early detection and diagnosis, treatment, and prognosis evaluation.   ",545,https://doi.org/10.1136/svn-2017-000101
742,Lecture Notes in Artificial Intelligence Br%C3%A9zillon Bouquet/b8e37682c847844a4b5c4851239fdc3357d5577b,Computer Science,1999,LNAI was established in the mid-1980s as a topical subseries of LNCS focusing on artificial intelligence.   ,3318,
743,Learning and evaluating classifiers under sample Zadrozny/6d5965a76f88a8ebab4fc9c43a3ae2630628966a,Computer Science,4 July 2004,We formalize the sample selection bias problem in machine learning terms and study analytically and experimentally how a number of well-known classifier,630,http://dl.acm.org/citation.cfm?id=1015425
744,The Structure Mapping Engine%3A Algorithm and Falkenhainer Forbus/15d7aa9ce648e8d5ed950d082f10e743fe2401b4,"Computer Science, Mathematics",1 November 1989,"This paper describes the Structure-Mapping Engine (SME), a program built to explore the computational aspects of Gentner's Structure-mapping theory of analogical processing .   ",1570,https://doi.org/10.1016/0004-3702%2889%2990077-5
745,Robot Programming by Demonstration Billard Calinon/a4c940cbe96ce4f181b7c1bb03caacf7efcad5b2,Computer Science,24 August 2009,Programming by Demonstration (PbD) develops methods by which new skills can be transmitted to a robot.   ,943,https://doi.org/10.1007/978-3-540-30301-5_60
746,Semi supervised learning with graphs Zhu Lafferty/3bc4736f9b8512043ed47357a81f26b93a1204b6,Computer Science,2005,"We present a series of novel semi-supervised learning  approaches arising from a graph representation, where labeled and unlabeled instances are represented as vertices, and edges encode the similarity between instances.",578,
747,Fuzzy support vector machines Lin Wang/ec76f55da5c6df30f6e4c9e4945bd3304d508ef7,"Mathematics, Computer Science",1 March 2002,We apply a fuzzy membership to each input point and reformulate the SVMs such that different input points can make different contributions to the learning  of decision surface.,1190,https://www.ncbi.nlm.nih.gov/pubmed/18244447
748,Solving large scale linear prediction problems Zhang/0ef7d9e618cbb507d69f8ebcdc60b8a1f3135bff,"Computer Science, Mathematics",4 July 2004,"In this paper, we study stochastic gradient descent (SGD) algorithms on regularized forms of linear prediction methods.   ",911,http://dl.acm.org/citation.cfm?id=1015332
749,Unmasking Clever Hans predictors and assessing what Lapuschkin W%C3%A4ldchen/4f51a64793d3b2a60e9e5846c31dae023cf5c69a,"Computer Science, Mathematics",26 February 2019,We propose a semi-automated Spectral Relevance Analysis that provides a practically effective way of characterizing and validating the behavior of nonlinear learning machine s.,229,https://doi.org/10.1038/s41467-019-08987-4
750,Quantum chemical insights from deep tensor neural Sch%C3%BCtt Arbabzadah/28f7cc049f3f4a4db81f0d0a608a4f57636cc35b,"Computer Science, Medicine",27 September 2016,"from data has led to paradigm shifts in a multitude of disciplines, including web, text and image search, speech recognition, as well as bioinformatics. Learning  ",518,https://www.ncbi.nlm.nih.gov/pubmed/28067221
751,On Kernel Target Alignment Cristianini Shawe Taylor/36aa0d0936b2cf128c646c36a1981807b5a27aaf,Computer Science,3 January 2001,"We introduce the notion of kernel-alignment, a measure of similarity between two kernel functions or between a kernel and a target function, and show that adapting the kernel to improve alignment on labelled data significantly increases the alignment on the test set.   ",989,https://doi.org/10.1007/3-540-33486-6_8
752,Recent Advances in Hierarchical Reinforcement Barto Mahadevan/0a8149fb5aa8a5684e7d530c264451a5cb9250f5,Computer Science,2003,We review several approaches to temporal abstraction and hierarchical organization that machine learning researchers have recently developed.,693,https://doi.org/10.1023/A%3A1022140919877
753,Knowledge Discovery in Databases%3A An Overview Frawley Piatetsky Shapiro/b66563fbfa9e02095156b8ec15aa517359b0cbec,Computer Science,25 September 1992,The 1990s should see the widespread exploitation of knowledge discovery as an aid to assembling knowledge bases.   ,1437,https://doi.org/10.1609/aimag.v13i3.1011
754,Single subject prediction of brain disorders in and Arbabshirani Plis/65d009f6c4abd501e452ed6664539ce5f1a733d3,"Psychology, Computer Science",15 January 2017,"A comprehensive review of neuroimaging‐based single subject prediction of brain disorders with a focus on schizophrenia, mild cognitive impairment (MCI), Alzheimer's disease (AD), depressive disorders, autism spectrum disease (ASD) and attention‐deficit hyperactivity disorder .   ",434,https://doi.org/10.1016/j.neuroimage.2016.02.079
755,Google Vizier%3A A Service for Black Box Optimization Golovin Solnik/938f6ef7eed095919e6a482c7f1836a01d62db4b,Computer Science,13 August 2017,"We describe Google Vizier, a Google-internal service for performing black-box optimization that has become the de facto parameter tuning engine at Google.   ",343,http://dl.acm.org/citation.cfm?id=3098043
756,Logistic regression and artificial neural network a Dreiseitl Ohno Machado/a098579783a15701c9b187a8ddb5e31746bd1f79,"Computer Science, Medicine",1 October 2002,"We show that logistic regression and artificial neural networks share common roots in statistical pattern recognition, and how the latter model can be seen as a generalization of the former.   ",1025,https://www.ncbi.nlm.nih.gov/pubmed/12968784
757,Data Mining for Imbalanced Datasets%3A An Overview Chawla/ecfdfcd1ef21449a01701122745a7be5ba135e7f,Computer Science,2005,A dataset is imbalanced if the classification categories are not approximately equally represented.   ,985,https://doi.org/10.1007/978-0-387-09823-4_45
758,The Case against Accuracy Estimation for Comparing Provost Fawcett/77703a2783f64dfceb638aa9eebd9c9c501bb835,Computer Science,24 July 1998,"We analyze critically the use of classi cation accuracy to compare classi ers on natural data sets, providing a thorough investigation using ROC analysis, standard machine learning algorithms, and standard benchmark data sets.",1145,
759,Social big data%3A Recent achievements and new Orgaz Jung/32bebd75012f43840ada24c6ab3c917d6dff99bf,"Computer Science, Medicine",28 August 2015,"We present a revision of the old methodologies that is designed to allow for efficient data mining and information fusion from social media and of the new applications and frameworks that are currently appearing under the “umbrella” of the social networks, big data and big data paradigms.   ",488,https://doi.org/10.1016/j.inffus.2015.08.005
760,Rough sets and Boolean reasoning Pawlak Skowron/e4540dbf519e90d7686af3575b782b6e67a609e7,"Mathematics, Computer Science",2007,"We discuss methods based on the combination of rough sets and Boolean reasoning with applications in pattern recognition, machine learning , data mining and conflict analysis.",892,https://doi.org/10.1016/j.ins.2006.06.007
761,Artificial Intelligence%3A A New Synthesis Nilsson/42016cf6f65306455de94dac823de65997c02c8f,Computer Science,15 August 1997,Intelligent agents are employed as the central characters in this new introductory text.   ,1115,https://doi.org/10.1016/c2009-0-27773-7
762,Identifying Sarcasm in Twitter%3A A Closer Look Gonz%C3%A1lez Ib%C3%A1%C3%B1ez Muresan/55e36d6b45c91a0daa49234bd47b856470d6825c,Computer Science,19 June 2011,Sarcasm transforms the polarity of an apparently positive or negative utterance into its opposite.   ,495,https://www.aclweb.org/anthology/P11-2102.pdf
763,Gradient boosting machines%2C a tutorial Natekin Knoll/eec471897375942fd690b736c2753bb19d907273,"Computer Science, Medicine",4 December 2013,Gradient boosting machine machine s are a family of powerful,526,https://www.ncbi.nlm.nih.gov/pubmed/24409142
764,Beyond Accuracy%2C F Score and ROC%3A A Family of for Sokolova Japkowicz/e3d8a9d35232d7967780019f0fa93626ca1373cb,Computer Science,4 December 2006,This paper argues that the measures in use now do not fully meet the needs of learning  problems in which classes are equally important and where several algorithms are compared.,803,https://doi.org/10.1007/11941439_114
765,Comparing support vector machines with Gaussian to Sch%C3%B6lkopf Sung/c4a422669ec9b6a60b05d2d2595314008a5fb419,Computer Science,1 November 1997,The support vector (SV) machine learning is a novel type of,1213,https://pdfs.semanticscholar.org/d3fc/5469593a177c3b040c70d278828507bd84ea.pdf
766,Inference for the Generalization Error Nadeau Bengio/8010e480ad33f6f95e80f7361ba8928f07f80a13,"Mathematics, Computer Science",29 November 1999,A theoretical investigation of the variance of a variant of the cross-validation estimator of the generalization error that takes into account the variability due to the randomness of the training set as well as test examples.   ,769,https://doi.org/10.1023/A%3A1024068626366
767,Kernel Methods in Computational Biology Sch%C3%B6lkopf Tsuda/b69df93991a1f5a712b20e832f5b0281acb3153b,Computer Science,1 October 2003,"This book provides a detailed overview of current research in kernel methods and their applications to computational biology, focusing on intuitive concepts rather than technical details.   ",881,https://pdfs.semanticscholar.org/ba21/b3380b278575f83e3d365b40b694d336b75f.pdf
768,Clipper%3A A Low Latency Online Prediction Serving Crankshaw Wang/0a5ff7336879c99513dca6fce6ef44984ebf3f55,Computer Science,9 December 2016,"We introduce Clipper, a general-purpose low-latency prediction serving system and demonstrate its ability to meet the latency, accuracy, and throughput demands of online serving applications.   ",238,https://arxiv.org/pdf/1612.03079.pdf
769,An Introduction to Convolutional Neural Networks O%E2%80%99Shea Nash/f46714d200d69eb9cb5cce176297b89a3f5e3a2c,Computer Science,26 November 2015,"The field of machine learning has taken a dramatic twist in recent times, with the rise of the Artificial Neural Network (ANN).",353,https://arxiv.org/pdf/1511.08458.pdf
770,Data mining in bioinformatics using Weka Frank Hall/ac12c9b9e35e58b55d85a97c47886a7371c14afa,"Computer Science, Medicine",12 October 2004,"Weka is a general-purpose environment for automatic classification, regression, clustering and feature selection-common data mining problems in bioinformatics research.   ",799,https://pdfs.semanticscholar.org/5c58/5b9bfa9bc496cc54fbde5e75d353d811a723.pdf
771,Understanding Data Augmentation for Classification%3A Wong Gatt/10b496ad48513f8585aa56f2c682159357858960,Computer Science,28 September 2016,"We investigate the benefit of augmenting data with synthetically created samples when training a machine learning classifier, using the standard MNIST handwritten digit dataset.",426,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7797091
772,Feature selection for classification%3A A review Tang Alelyani/9cb1ae3e3cacec4446aaaacd98fa328385817cb7,Computer Science,2014,The growth of the UCI machine learning repository is shown in Figure 1.,426,https://doi.org/10.1201/B17320
773,Benchmarking Least Squares Support Vector Machine Gestel Suykens/37b0dcf6dbb57074e7e7f0f81ca684be0fe9533c,"Mathematics, Computer Science",2004,"In Support Vector Machine  s (SVMs), the solution of the classification problem is characterized by a (convex) quadratic programming (QP) problem.",538,https://doi.org/10.1023/B%3AMACH.0000008082.80494.e0
774,Nearest Neighbor Methods in Learning and Vision%3A Shakhnarovich Darrell/2323173a0bddac0dd2586b17a2f3ac33f401c45c,Computer Science,1 March 2006,This volume presents theoretical and practical discussions of nearest-neighbor (NN) methods in machine learning and examines computer vision as an application domain in which the benefit of these advanced methods is often dramatic.,538,
775,An Introduction to Restricted Boltzmann Machines Fischer Igel/dd135a89b5075af5cbef5becaf419457cdd77cc9,Computer Science,3 September 2012,This tutorial introduces RBMs as undirected graphical models that can be interpreted as stochastic neural networks.   ,405,https://doi.org/10.1007/978-3-642-33275-3_2
776,Policy gradient reinforcement learning for fast Kohl Stone/413b32dc8855f9db4c95657a3de5ca6c1d793da0,"Computer Science, Engineering",6 July 2004,"This paper presents a machine learning approach to optimizing a quadrupedal trot gait for forward speed, using policy gradient reinforcement",534,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1307456
777,Beyond the point cloud%3A from transductive to Sindhwani Niyogi/ec7c68427a26f812532b1c913c68fcf84b7de58e,"Mathematics, Computer Science",7 August 2005,We construct a family of data-dependent norms on Reproducing Kernel Hilbert Spaces (RKHS).   ,465,http://dl.acm.org/citation.cfm?id=1102455
778,Ontology Learning from Text%3A Methods%2C Evaluation Magnini Buitelaar/83b58081d8351b88c3bc42e3e2043727f707edf0,Computer Science,1 July 2005,"This volume brings together ontology learning  , knowledge acquisition and other related topics.",505,
779,Overcoming the Myopia of Inductive Learning with Kononenko Simec/8e9e7b8084082e599e16d65cc9539b415ee94738,Computer Science,2004,"We propose to use RELIEFF, an extension of RELIEF developed by Kira and Rendell [10, 11], for heuristic guidance of inductive learning  algorithms.",512,https://doi.org/10.1023/A%3A1008280620621
780,Learning words from sights and sounds%3A a model Roy Pentland/98d6a531a741964ea547f5c8533a3b65e04603d9,Computer Science,2002,This paper presents an implemented computational model of word acquisition which learns directly from raw multimodal sensory input.   ,614,https://doi.org/10.1016/S0364-0213%2801%2900061-1
781,A connectionist machine for genetic hillclimbing Ackley/fd0934a6008ecb9035b5b1e0b91ac890e2e5bd3d,Mathematics,4 July 1987,   ,740,https://doi.org/10.1007/978-1-4613-1997-9
782,A support vector machine approach for detection of El Naqa Yang/f1d73520d51a0f19c686d9f4bf7af1db33763a2a,"Computer Science, Medicine",1 December 2002,"We investigate an approach based on support vector machine learning s (SVMs) for detection of microcalcification (MC) clusters in digital mammograms, and propose a successive enhancement",529,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1176643
783,Metalearning Applications to Data Mining Brazdil Giraud Carrier/bd5d4f760e8856d51fef2da900a763cca4cbce96,Computer Science,26 November 2008,Meta learning machine is the study of principled methods that exploit metaknowledge to obtain efficient models and solutions by adapting,458,https://doi.org/10.1007/978-3-540-73263-1
784,Evaluation of a Tree based Pipeline Optimization Olson Bartley/3335c340c20609b4e6de481c9eaf67ecd6c960dc,Computer Science,20 March 2016,We introduce the concept of tree-based pipeline optimization for automating one of the most tedious parts of machine learning --pipeline design.,197,http://dl.acm.org/citation.cfm?id=2908918
785,The power of amnesia%3A Learning probabilistic with Ron Singer/9e5e82a07998ce355b65fe5d43b5c3138fd767d9,Computer Science,1 December 1996,We propose and analyze a distribution learning  algorithm for variable memory length Markov processes.,479,https://doi.org/10.1007/BF00114008
786,A Perspective on Deep Imaging Wang/63be611dc8cf09ed081b4ad2b1756420b782b0be,"Computer Science, Biology",10 September 2016,"The combination of tomographic imaging and deep learning machine , or",244,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7733110
787,Novelty detection%3A a review part 2%3A %3A neural based Markou Singh/ba10c37a6a24276f5e67a22a71d0d511c01cf5e1,Computer Science,1 December 2003,In this paper we detail a variety of neural network-based approaches for novelty detection.   ,812,https://doi.org/10.1016/j.sigpro.2003.07.019
788,Support vector machines for classification in Pal Mather/db68a79e59291b85e10300b79c43843b651aa195,Computer Science,1 March 2005,This paper reports the results of two experiments in which multi‐class SVMs are compared with maximum likelihood (ML) and artificial neural network (ANN) methods in terms of classification accuracy.   ,690,https://doi.org/10.1080/01431160512331314083
789,Question classification using support vector Zhang Lee/08745f22d0abbe66e486f0985c985ecf1eab4e9e,Computer Science,28 July 2003,We propose to use a special kernel function called the tree kernel to enable the SVM to take advantage of the syntactic structures of questions.   ,642,http://dl.acm.org/citation.cfm?id=860443
790,Semi Supervised Support Vector Machines Bennett Demiriz/8198e70878c907e1bd05e7a3fa4280d8c338df60,"Mathematics, Computer Science",1 December 1998,   ,828,http://nips.djvuzone.org/djvu/nips11/0368.djvu
791,Learning to detect malicious executables in the Kolter Maloof/e72fdc7471e78adec50a6b41792254ce966ce70f,Computer Science,22 August 2004,This paper describes the development of a fielded application for detecting malicious executables in the wild.   ,451,http://dl.acm.org/citation.cfm?id=1014105
792,Hubs in Space%3A Popular Nearest Neighbors in Data Radovanovi%C4%87 Nanopoulos/f620ec7bc0632be5518718cb81e2bfb57c81e950,"Computer Science, Mathematics",1 March 2010,"This paper explores a new aspect of the dimensionality curse, referred to as hubness, that affects the distribution of k-occurrences: the number of times a point appears among the k nearest neighbors of other points in a data set.   ",429,https://pdfs.semanticscholar.org/f620/ec7bc0632be5518718cb81e2bfb57c81e950.pdf
793,Towards a theoretical foundation for manifold Belkin Niyogi/40cd779cb417c9e665ec29fdccc73a6499c5ae5e,"Computer Science, Mathematics",1 December 2008,We show that under certain conditions the graph Laplacian of a point cloud converges to the Laplace-Beltrami operator on the underlying manifold.   ,474,https://doi.org/10.1016/j.jcss.2007.08.006
794,PRoNTo%3A Pattern Recognition for Neuroimaging Schrouff Rosa/1b286f0984301793f711899aa3294974f60ffed9,"Computer Science, Medicine",16 February 2013,"In the past years, mass univariate statistical analyses of neuroimaging data have been complemented by the use of multivariate pattern analyses, especially based on machine learning models.",263,https://doi.org/10.1007/s12021-013-9178-1
795,Domain Adaptation Problems%3A A DASVM Classification Bruzzone Marconcini/632a3e8971f6a26cf127a03689c28399d2fce7d8,"Computer Science, Medicine",1 May 2010,This paper addresses pattern classification in the framework of domain adaptation by considering methods that solve problems in which training data are assumed to be available only for a source domain different (even if related) from the target domain of (unlabeled) test data.   ,463,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4803844
796,Kernel Methods for Relation Extraction Zelenko Aone/cc1cad12521b5aab43fdda5b4dec67586aef1f87,Computer Science,6 July 2002,We present an application of kernel methods to extracting relations from unstructured natural language sources.   ,773,https://www.aclweb.org/anthology/W02-1010.pdf
797,Prediction and Validation of Disease Genes Using Zeng Liao/c0e10356210aefe4ce9afc94f6c3d0c511222c5f,"Computer Science, Medicine",1 May 2017,"In this paper, we use a novel relevance measure, called HeteSim, to prioritize candidate disease genes in heterogeneous networks.   ",146,http://dl.acm.org/citation.cfm?id=3148931
798,Incremental Learning with Support Vector Machines R%C3%BCping/7b5440285956e5d2ff848583775de35c089cc12f,Computer Science,29 November 2001,In this paper an approach for incremental learning machine with support vector,548,https://doi.org/10.1109/ICDM.2001.989589
799,Support vector learning Sch%C3%B6lkopf/356125478f5d06b564b420755a4944254045bbbe,Computer Science,1997,"We conclude this section by noting that analyses in other branches of learning  theory have led to similar insights in the trade-o between reducing the training er-ror and limiting model complexity, for instance as described by regularization theory.",622,http://d-nb.info/952015323
800,A Review of Feature Reduction Techniques in Mwangi Tian/898b028e96884f667dd518b2d2038fb48adc353f,"Computer Science, Medicine",1 April 2014,Feature reduction is an essential step before training a machine learning model to avoid overfitting and generalization ability.,279,https://doi.org/10.1007/s12021-013-9204-3
801,Learning the Kernel with Hyperkernels Ong Smola/1889b9c3e8bc1118448b95fca38d6eff0bfca64d,"Mathematics, Computer Science",1 December 2005,We state the equivalent representer theorem for the choice of kernels and present a semidefinite programming formulation of the resulting optimization problem.   ,349,http://jmlr.org/papers/v6/ong05a.html
802,Connectionist Learning of Belief Networks Neal/a120c05ad7cd4ce2eb8fb9697e16c7c4877208a5,Computer Science,1 July 1992,Connectionist learning learning procedures are presented for “sigmoid” and “noisy-OR” varieties of probabilistic belief networks that can support maximum-likelihood,572,https://doi.org/10.1016/0004-3702%2892%2990065-6
803,Ranking Learning Algorithms%3A Using IBL and on and Brazdil Soares/c8b5825b8994ce3c4dc7e603423d7d43a5ead15c,Computer Science,1 March 2003,We present a meta- learning learning method to support selection of candidate,390,https://doi.org/10.1023/A%3A1021713901879
804,Prolog Programming for Artificial Intelligence Bratko/0d839753b1de2070810b97c3ca05c6b78f861667,Computer Science,1986,"This best-selling guide to Prolog has been fully revised and extended to provide an even greater range of applications, enhancing its value as a stand-alone guide toprolog, artificial intelligence, or AI programming.   ",863,https://doi.org/10.1016/0010-4485%2886%2990018-7
805,A Weighted Nearest Neighbor Algorithm for Learning Cost Salzberg/949a68c4d0513574a4a504ce6f867b1330f8a947,"Mathematics, Computer Science",2004,"In the past, nearest neighbor algorithms for learning  from examples have worked best in domains in which all features had numeric values.",383,https://doi.org/10.1023/A%3A1022664626993
806,A systematic review of software fault prediction Catal Diri/c4b2def0b73349aa04ef4ae3f620c83129558e9f,Computer Science,1 May 2009,"This paper provides a systematic review of previous software fault prediction studies with a specific focus on metrics, methods, and datasets.   ",417,https://doi.org/10.1016/j.eswa.2008.10.027
807,Support Vector Learning for Semantic Argument Pradhan Hacioglu/a584e4b607e972783cea22daaaf1114ea94a8035,Computer Science,1 September 2005,"We propose a machine learning algorithm for semantic role parsing, extending the work of Gildea and Jurafsky (2002), Surdeanu et al. (2003) and others.",296,https://doi.org/10.1007/s10994-005-0912-2
808,Learning Kernel Classifiers Theory and Algorithms Herbrich/23d2d8b687d31b11573473a7c7792b7ec08d0745,Computer Science,1 December 2001,"This book provides the first comprehensive overview of both the theory and algorithms of kernel classifiers, including the most recent developments.   ",459,https://doi.org/10.7551/MITPRESS%2F4170.001.0001
809,Facial Attractiveness%3A Beauty and the Machine Eisenthal Dror/37b7f2901f3f82255d397ec88e3a6a9e9dfec74f,"Computer Science, Psychology",2006,This work presents a novel study of the notion of facial attractiveness in a machine learning context.,216,https://doi.org/10.1162/089976606774841602
810,Dyna%2C an integrated architecture for learning%2C and Sutton/831edc3d67457db83da40d260e93bfd7559347ae,Computer Science,3 January 1990,"Dyna is an AI architecture that integrates learning  , planning, and reactive execution.",548,http://dl.acm.org/citation.cfm?id=122377
811,Technical Update%3A Least Squares Temporal Difference Boyan/d6aa631d44a7f2cbb3ab07f3b993f4e5c5c4150b,Computer Science,1 November 2002,This paper updates Bradtke and Barto's work in three significant ways.   ,324,https://doi.org/10.1023/A%3A1017936530646
812,Adaptive Resonance Theory Carpenter Grossberg/ebbe96210fe39060c5cd261cb40a11406f9738c1,Computer Science,2010,"Adaptive resonance theory (ART) neural networks model real-time hypothesis testing, search, learning  , recognition, and prediction in response to large nonstationary databases .",362,https://doi.org/10.1007/978-0-387-30164-8_11
813,A Bayesian%2FInformation Theoretic Model of Learning Baxter/1bd6e929ed8384ea2212d50ab3c103ec018cc9fd,Computer Science,1 July 1997,A Bayesian model of learning  to learn by sampling from multiple tasks is presented.,319,https://doi.org/10.1023/A%3A1007327622663
814,Incremental Learning from Noisy Data Schlimmer Granger/e78a35a75dc10f366da57b490679bb38a46da531,Computer Science,10 March 1986,This paper presents a method for using previously acquired concept definitions in subsequent learning  by adding an attribute for each learned concept to instance descriptions.,312,https://doi.org/10.1023/A%3A1022810614389
815,Types of Cost in Inductive Concept Learning Turney/95da1bff50185494bd747bead09958f2e34bf50a,Computer Science,11 December 2002,We propose a taxonomy of the different types of cost that are involved in inductive concept learning  .,379,https://arxiv.org/pdf/cs/0212034.pdf
816,Experience with a learning personal assistant Mitchell Caruana/a9565f70db3a6b5e4ff1df272238b8d7a84a1337,Computer Science,1 July 1994,"Personal software assistants that help users with tasks like finding information, scheduling calendars, or managing work-flow will require significant customization to each user.   ",497,http://dl.acm.org/citation.cfm?id=176798
817,Query Learning with Large Margin Classifiers Campbell Cristianini/01a61d9b9183ce11c89e36d9e1f24614c98f3ee8,Computer Science,29 June 2000,The active selection of instances can significantly improve the generalisation performance of a learning machine .,411,
818,Hidden Markov Support Vector Machines Altun Tsochantaridis/5fe5ed2a3b50becdbbcd17e7733653d5ef6ac398,"Mathematics, Computer Science",21 August 2003,This paper presents a novel discriminative learning learning technique for label sequences based on a combination of the two most successful,557,http://www.aaai.org/Library/ICML/2003/icml03-004.php
819,Steps toward Artificial Intelligence Minsky/b8ff8c7ab23eb70d4179c15a8a6b0efa1a493b8b,Computer Science,26 October 1995,"The problems of heuristic programming-of making computers solve really difficult problems-are divided into five main areas: Search, Pattern-Recognition, Learning  , Planning, and Induction.",1187,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4066245
820,Supervised Tensor Learning Tao Li/ed10ee928d490ad5c2f3bc574237bc3c7d63c81c,"Mathematics, Computer Science",27 November 2005,This paper aims to take general tensors as inputs for supervised learning learning and study the applications of tensors to,277,https://doi.org/10.1109/ICDM.2005.139
821,Semisupervised Learning for Computational Abney/d21c796c6af518da905752a64d54b541384eba12,Computer Science,17 September 2007,The rapid advancement in the theoretical understanding of statistical and machine learning methods for semisupervised,168,https://doi.org/10.1201/9781420010800
